timestamp,user_id,source,ip_address,country,city,device,status,endpoint,query_type,session_duration,ground_truth_anomaly,ground_truth_type,hour_of_day,day_of_week,is_weekend,fail_count_10min,fail_count_1h,minutes_since_last_login,country_changed,impossible_travel_score,usual_hour_mean,usual_hour_std,usual_country,hour_deviation,is_new_country,source_code,device_code,anomaly_score_if,anomaly_if
2026-05-06 10:11:00.738474,user_0000,login,39.253.38.222,Algerie,Millerport,tablet,success,,,1213.5,0,none,10,2,0,0.0,0.0,38349.0,0,0,10.357142857142858,3.587385953461667,Algerie,0.3571428571428576,0,2,2,0.028399700848497522,0
2026-05-07 06:27:00.738474,user_0000,login,221.181.186.216,Algerie,Coxberg,tablet,success,,,377.3,0,none,6,3,0,0.0,0.0,1216.0,0,0,10.357142857142858,3.587385953461667,Algerie,4.357142857142858,0,2,2,0.15052493369354347,0
2026-05-07 07:53:00.738474,user_0000,login,106.135.208.108,Algerie,Smithview,tablet,success,,,213.4,0,none,7,3,0,0.0,0.0,86.0,0,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,2,2,0.14041533392521632,0
2026-05-08 06:07:00.738474,user_0000,api,197.75.239.144,Algerie,Smithstad,mobile,success,/profile,,1285.2,0,none,6,4,0,0.0,0.0,1334.0,0,0,10.357142857142858,3.587385953461667,Algerie,4.357142857142858,0,0,1,0.12391625276319851,0
2026-05-13 13:05:00.738474,user_0000,api,194.108.246.245,Algerie,Meaganhaven,mobile,success,/profile,,911.9,0,none,13,2,0,0.0,0.0,7618.0,0,0,10.357142857142858,3.587385953461667,Algerie,2.6428571428571423,0,0,1,0.1508023164921113,0
2026-05-15 07:04:00.738474,user_0000,login,46.186.51.36,Algerie,North Chad,desktop,success,,,1005.9,0,none,7,4,0,0.0,0.0,2519.0,0,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,2,0,0.14053055067205045,0
2026-05-21 07:35:00.738474,user_0000,login,65.178.195.236,Algerie,Lake Debra,desktop,success,,,369.4,0,none,7,3,0,0.0,0.0,8671.0,0,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,2,0,0.12747988213982048,0
2026-05-27 07:19:00.738474,user_0000,db,39.84.208.210,Algerie,Kaylamouth,desktop,success,,UPDATE,1064.0,0,none,7,2,0,0.0,0.0,8624.0,0,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,1,0,0.11479423197208394,0
2026-05-29 07:31:00.738474,user_0000,api,216.121.229.251,Algerie,East Julie,tablet,success,/orders,,1154.7,0,none,7,4,0,0.0,0.0,2892.0,0,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,0,2,0.12075499494493991,0
2026-05-31 09:50:00.738474,user_0000,api,181.9.176.92,Algerie,New Christopherburgh,mobile,success,/search,,224.8,0,none,9,6,1,0.0,0.0,3019.0,0,0,10.357142857142858,3.587385953461667,Algerie,1.3571428571428577,0,0,1,0.09643456714512166,0
2026-06-01 08:19:00.738474,user_0000,login,205.241.168.137,Algerie,Aguirreborough,mobile,success,,,1523.2,0,none,8,0,0,0.0,0.0,1349.0,0,0,10.357142857142858,3.587385953461667,Algerie,2.3571428571428577,0,2,1,0.13865786674816472,0
2026-06-02 15:49:00.738474,user_0000,api,216.205.10.74,Algerie,East Donald,tablet,success,/orders,,183.9,0,none,15,1,0,0.0,0.0,1890.0,0,0,10.357142857142858,3.587385953461667,Algerie,4.642857142857142,0,0,2,0.12265503178826176,0
