timestamp,user_id,source,ip_address,country,city,device,status,endpoint,query_type,session_duration,ground_truth_anomaly,ground_truth_type,hour_of_day,day_of_week,is_weekend,fail_count_10min,fail_count_1h,minutes_since_last_login,country_changed,impossible_travel_score,usual_hour_mean,usual_hour_std,usual_country,hour_deviation,is_new_country,source_code,device_code
2026-05-06 10:11:00.738474,user_0000,login,39.253.38.222,Algerie,Millerport,tablet,success,,,1213.5,0,none,10,2,0,0.0,0.0,,False,0,10.357142857142858,3.587385953461667,Algerie,0.35714285714285765,0,2,2
2026-05-07 06:27:00.738474,user_0000,login,221.181.186.216,Algerie,Coxberg,tablet,success,,,377.3,0,none,6,3,0,0.0,0.0,1216.0,False,0,10.357142857142858,3.587385953461667,Algerie,4.357142857142858,0,2,2
2026-05-07 07:53:00.738474,user_0000,login,106.135.208.108,Algerie,Smithview,tablet,success,,,213.4,0,none,7,3,0,0.0,0.0,86.0,False,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,2,2
2026-05-08 06:07:00.738474,user_0000,api,197.75.239.144,Algerie,Smithstad,mobile,success,/profile,,1285.2,0,none,6,4,0,0.0,0.0,1334.0,False,0,10.357142857142858,3.587385953461667,Algerie,4.357142857142858,0,0,1
2026-05-13 13:05:00.738474,user_0000,api,194.108.246.245,Algerie,Meaganhaven,mobile,success,/profile,,911.9,0,none,13,2,0,0.0,0.0,7618.0,False,0,10.357142857142858,3.587385953461667,Algerie,2.6428571428571423,0,0,1
2026-05-15 07:04:00.738474,user_0000,login,46.186.51.36,Algerie,North Chad,desktop,success,,,1005.9,0,none,7,4,0,0.0,0.0,2519.0,False,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,2,0
2026-05-21 07:35:00.738474,user_0000,login,65.178.195.236,Algerie,Lake Debra,desktop,success,,,369.4,0,none,7,3,0,0.0,0.0,8671.0,False,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,2,0
2026-05-27 07:19:00.738474,user_0000,db,39.84.208.210,Algerie,Kaylamouth,desktop,success,,UPDATE,1064.0,0,none,7,2,0,0.0,0.0,8624.0,False,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,1,0
2026-05-29 07:31:00.738474,user_0000,api,216.121.229.251,Algerie,East Julie,tablet,success,/orders,,1154.7,0,none,7,4,0,0.0,0.0,2892.0,False,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,0,2
2026-05-31 09:50:00.738474,user_0000,api,181.9.176.92,Algerie,New Christopherburgh,mobile,success,/search,,224.8,0,none,9,6,1,0.0,0.0,3019.0,False,0,10.357142857142858,3.587385953461667,Algerie,1.3571428571428577,0,0,1
2026-06-01 08:19:00.738474,user_0000,login,205.241.168.137,Algerie,Aguirreborough,mobile,success,,,1523.2,0,none,8,0,0,0.0,0.0,1349.0,False,0,10.357142857142858,3.587385953461667,Algerie,2.3571428571428577,0,2,1
2026-06-02 15:49:00.738474,user_0000,api,216.205.10.74,Algerie,East Donald,tablet,success,/orders,,183.9,0,none,15,1,0,0.0,0.0,1890.0,False,0,10.357142857142858,3.587385953461667,Algerie,4.642857142857142,0,0,2
2026-06-02 16:23:00.738474,user_0000,api,70.48.153.229,Algerie,Melanieview,desktop,success,/search,,1425.3,0,none,16,1,0,0.0,0.0,34.0,False,0,10.357142857142858,3.587385953461667,Algerie,5.642857142857142,0,0,0
2026-06-03 11:58:00.738474,user_0000,api,217.249.148.115,Algerie,Carneystad,mobile,success,/profile,,773.9,0,none,11,2,0,0.0,0.0,1175.0,False,0,10.357142857142858,3.587385953461667,Algerie,0.6428571428571423,0,0,1
2026-06-04 10:43:00.738474,user_0000,db,6.132.117.214,Algerie,Lake Victor,desktop,success,,UPDATE,722.7,0,none,10,3,0,0.0,0.0,1365.0,False,0,10.357142857142858,3.587385953461667,Algerie,0.35714285714285765,0,1,0
2026-06-04 13:45:00.738474,user_0000,login,210.72.237.234,Algerie,New Jessica,tablet,success,,,1256.7,0,none,13,3,0,0.0,0.0,182.0,False,0,10.357142857142858,3.587385953461667,Algerie,2.6428571428571423,0,2,2
2026-06-21 07:25:00.738474,user_0000,login,91.150.87.180,Algerie,Rodneymouth,mobile,success,,,1522.8,0,none,7,6,1,0.0,0.0,24100.0,False,0,10.357142857142858,3.587385953461667,Algerie,3.3571428571428577,0,2,1
2026-06-22 12:06:00.738474,user_0000,login,64.241.202.234,Algerie,Port Melindaburgh,tablet,success,,,590.6,0,none,12,0,0,0.0,0.0,1721.0,False,0,10.357142857142858,3.587385953461667,Algerie,1.6428571428571423,0,2,2
2026-06-25 06:46:00.738474,user_0000,api,132.211.27.36,Algerie,Mortonside,tablet,success,/profile,,959.6,0,none,6,3,0,0.0,0.0,4000.0,False,0,10.357142857142858,3.587385953461667,Algerie,4.357142857142858,0,0,2
2026-06-26 06:45:00.738474,user_0000,login,151.89.105.16,Algerie,West Michael,mobile,fail,,,217.9,0,none,6,4,0,1.0,1.0,1439.0,False,0,10.357142857142858,3.587385953461667,Algerie,4.357142857142858,0,2,1
2026-06-28 16:40:00.738474,user_0000,db,111.196.65.254,Algerie,New David,desktop,success,,UPDATE,1044.5,0,none,16,6,1,0.0,0.0,3475.0,False,0,10.357142857142858,3.587385953461667,Algerie,5.642857142857142,0,1,0
